id,domain,heard,correct,notes
272,Construction,chajja nikalna,छज्जा निकालना,migrated_from_domain_dictionary
273,Construction,rcc slab,RCC स्लैब,migrated_from_domain_dictionary
274,Construction,pcc karna,PCC करना,migrated_from_domain_dictionary
275,Construction,crank todna,क्रैंक तोड़ना,migrated_from_domain_dictionary
276,Construction,laping dena,लॅपिंग देना,migrated_from_domain_dictionary
277,Construction,jol na aaye,जॉइंट ना आये,migrated_from_domain_dictionary
278,Construction,mixar machine,मिक्सर मशीन,migrated_from_domain_dictionary
279,Construction,lift lagao,लिफ्ट लगाओ,migrated_from_domain_dictionary
280,Construction,krashar aayga,क्रेशर आएगा,migrated_from_domain_dictionary
281,Construction,eeta judai,ईंटा जुड़ाई,migrated_from_domain_dictionary
282,Construction,fly as eent,फ्लाई ऐश ईंट,migrated_from_domain_dictionary
283,Construction,aac blcok,AAC ब्लॉक,migrated_from_domain_dictionary
284,Construction,palastar chalu,प्लास्टर चालू,migrated_from_domain_dictionary
285,Construction,niru chadhana,नीरू चढ़ाना,migrated_from_domain_dictionary
286,Construction,ghutai karna,घुटाई करना,migrated_from_domain_dictionary
287,Construction,chokhat jam,चौखट जाम,migrated_from_domain_dictionary
288,Construction,darwaja pasiyo,दरवाज़ा फँसाओ,migrated_from_domain_dictionary
289,Construction,sika kampani,सिक्का कंपनी,migrated_from_domain_dictionary
290,Construction,dr fiksit,डॉ. फिक्सिट,migrated_from_domain_dictionary
291,Construction,silan ki samasya,सीलन की समस्या,migrated_from_domain_dictionary
292,Construction,darar aa gai,दरार आ गई,migrated_from_domain_dictionary
293,Construction,murum dalna,मुरूम डालना,migrated_from_domain_dictionary
294,Construction,compaktor chalao,कम्पैक्टर चलाओ,migrated_from_domain_dictionary
295,Construction,jcb khudaai,JCB खुदाई,migrated_from_domain_dictionary
296,Construction,leber payment,लेबर पेमेंट,migrated_from_domain_dictionary
297,Construction,pethi thekedar,पेटी ठेकेदार,migrated_from_domain_dictionary
298,Construction,naapi lena,नापी लेना,migrated_from_domain_dictionary
299,Construction,skuare fit,स्क्वायर फ़ीट,migrated_from_domain_dictionary
300,Construction,ranning fit,रनिंग फ़ीट,migrated_from_domain_dictionary
301,Rental,rent kitna,रेंट कितना,migrated_from_domain_dictionary
302,Rental,par bed,पर बेड,migrated_from_domain_dictionary
303,Rental,dipojit dena,डिपॉज़िट देना,migrated_from_domain_dictionary
304,Rental,brokrej charge,ब्रोकरेज चार्ज,migrated_from_domain_dictionary
305,Rental,notis piriad,नोटिस पीरियड,migrated_from_domain_dictionary
306,Rental,lok in piriad,लॉक-इन पीरियड,migrated_from_domain_dictionary
307,Rental,agrimant banwa,एग्रीमेंट बनवा,migrated_from_domain_dictionary
308,Rental,notary karni,नोटरी करनी,migrated_from_domain_dictionary
309,Rental,polis verifikshan,पुलिस वेरिफिकेशन,migrated_from_domain_dictionary
310,Rental,aadhar card copy,आधार कार्ड कॉपी,migrated_from_domain_dictionary
311,Rental,bijli bill alag,बिजली बिल अलग,migrated_from_domain_dictionary
312,Rental,sub miter reading,सबमीटर रीडिंग,migrated_from_domain_dictionary
313,Rental,pani ka charge,पानी का चार्ज,migrated_from_domain_dictionary
314,Rental,mentanes alag,मेंटेनेंस अलग,migrated_from_domain_dictionary
315,Rental,wifi fri,WiFi फ्री,migrated_from_domain_dictionary
316,Rental,tifan sewa,टिफिन सेवा,migrated_from_domain_dictionary
317,Rental,londry charge,लॉन्ड्री चार्ज,migrated_from_domain_dictionary
318,Rental,gizar laga hai,गीज़र लगा है,migrated_from_domain_dictionary
319,Rental,p f furnisd,पूरी फर्निश्ड,migrated_from_domain_dictionary
320,Rental,semi furnisd,सेमी फर्निश्ड,migrated_from_domain_dictionary
321,Rental,almirah mili,अलमारी मिलेगी,migrated_from_domain_dictionary
322,Rental,study tebal,स्टडी टेबल,migrated_from_domain_dictionary
323,Rental,attc bathrum,अटैच बाथरूम,migrated_from_domain_dictionary
324,Rental,comman toilate,कॉमन टॉयलेट,migrated_from_domain_dictionary
325,Rental,ro wotar,RO वाटर,migrated_from_domain_dictionary
326,Rental,wardan kahan,वार्डन कहाँ,migrated_from_domain_dictionary
327,Rental,time pbandi,टाइम पाबंदी,migrated_from_domain_dictionary
328,Rental,gest alow,गेस्ट अलाऊ,migrated_from_domain_dictionary
329,Rental,boyz pg,बॉयज़ PG,migrated_from_domain_dictionary
330,Rental,garls hostel,गर्ल्स हॉस्टल,migrated_from_domain_dictionary
331,Rental,khali karna,खाली करना,migrated_from_domain_dictionary
332,Rental,refund kab,रिफंड कब,migrated_from_domain_dictionary
333,Rental,pant karwao,पेंट करवाओ,migrated_from_domain_dictionary
334,Rental,mahine ki pheli,महीने की पहली,migrated_from_domain_dictionary
335,Rental,late fin,लेट फाइन,migrated_from_domain_dictionary
336,Rental,onlaine pement,ऑनलाइन पेमेंट,migrated_from_domain_dictionary
337,Rental,kyaash mat dena,कैश मत देना,migrated_from_domain_dictionary
338,Rental,tannat verifi,टेनेंट वेरिफिकेशन,migrated_from_domain_dictionary
339,Rental,bachalor rnt,बैचलर रेंट,migrated_from_domain_dictionary
340,Rental,p g kichen,PG किचन,migrated_from_domain_dictionary
341,Rental,silindar gas,सिलेंडर गैस,migrated_from_domain_dictionary
342,Rental,cleaning bai,क्लीनिंग बाई,migrated_from_domain_dictionary
343,Rental,taras lock,टेरेस लॉक,migrated_from_domain_dictionary
344,Rental,pakka bil,पक्का बिल,migrated_from_domain_dictionary
345,Rental,kiranedar naam,किरायेदार नाम,migrated_from_domain_dictionary
346,Rental,ownerakan ka,मकान मालिक,migrated_from_domain_dictionary
347,Rental,securty gard,सिक्योरिटी गार्ड,migrated_from_domain_dictionary
348,Rental,bick parkng,बाइक पार्किंग,migrated_from_domain_dictionary
349,Rental,sublat na kare,सबलेट ना करें,migrated_from_domain_dictionary
350,Rental,chabi gumna,चाबी गुमना,migrated_from_domain_dictionary
351,Tools,grendar machine,ग्राइंडर मशीन,migrated_from_domain_dictionary
352,Tools,dril bit lao,ड्रिल बिट लाओ,migrated_from_domain_dictionary
353,Tools,hathori lana,हथौड़ी लाना,migrated_from_domain_dictionary
354,Tools,chheni hathori,छैनी हथौड़ी,migrated_from_domain_dictionary
355,Tools,randa marna,रंदा मारना,migrated_from_domain_dictionary
356,Tools,paana de do,पाना दे दो,migrated_from_domain_dictionary
357,Tools,plass kahan hai,प्लास कहाँ है,migrated_from_domain_dictionary
358,Tools,pachkas lao,पेचकस लाओ,migrated_from_domain_dictionary
359,Tools,nipal pan,निप्पल पाना,migrated_from_domain_dictionary
360,Tools,hexa bled,हेक्सा ब्लेड,migrated_from_domain_dictionary
